date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:49:56	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Dec%202021%2013:19:57%20GMT	https://aryanxxvii.wixsite.com/9692b4a8.min.css	C:/My%20Web%20Sites/asasasa/aryanxxvii.wixsite.com/9692b4a8.min.css	(from https://aryanxxvii.wixsite.com/my-site-3)
18:49:56	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Dec%202021%2013:19:58%20GMT	https://aryanxxvii.wixsite.com/914012ea.min.css	C:/My%20Web%20Sites/asasasa/aryanxxvii.wixsite.com/914012ea.min.css	(from https://aryanxxvii.wixsite.com/my-site-3)
18:49:56	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Dec%202021%2013:19:58%20GMT	https://aryanxxvii.wixsite.com/ffa0eb8f.min.css	C:/My%20Web%20Sites/asasasa/aryanxxvii.wixsite.com/ffa0eb8f.min.css	(from https://aryanxxvii.wixsite.com/my-site-3)
18:49:56	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Dec%202021%2013:19:58%20GMT	https://aryanxxvii.wixsite.com/fe8be6d6.min.css	C:/My%20Web%20Sites/asasasa/aryanxxvii.wixsite.com/fe8be6d6.min.css	(from https://aryanxxvii.wixsite.com/my-site-3)
18:49:57	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Dec%202021%2013:19:58%20GMT	https://aryanxxvii.wixsite.com/a28cca36.min.css	C:/My%20Web%20Sites/asasasa/aryanxxvii.wixsite.com/a28cca36.min.css	(from https://aryanxxvii.wixsite.com/my-site-3)
18:49:57	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Dec%202021%2013:19:58%20GMT	https://aryanxxvii.wixsite.com/02b07b80.min.css	C:/My%20Web%20Sites/asasasa/aryanxxvii.wixsite.com/02b07b80.min.css	(from https://aryanxxvii.wixsite.com/my-site-3)
18:49:57	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Dec%202021%2013:19:59%20GMT	https://aryanxxvii.wixsite.com/265e9a4a.min.css	C:/My%20Web%20Sites/asasasa/aryanxxvii.wixsite.com/265e9a4a.min.css	(from https://aryanxxvii.wixsite.com/my-site-3)
18:49:57	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Dec%202021%2013:19:59%20GMT	https://aryanxxvii.wixsite.com/ff342417.min.css	C:/My%20Web%20Sites/asasasa/aryanxxvii.wixsite.com/ff342417.min.css	(from https://aryanxxvii.wixsite.com/my-site-3)
18:49:58	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Dec%202021%2013:19:59%20GMT	https://aryanxxvii.wixsite.com/2a1582d7.min.css	C:/My%20Web%20Sites/asasasa/aryanxxvii.wixsite.com/2a1582d7.min.css	(from https://aryanxxvii.wixsite.com/my-site-3)
18:49:58	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Dec%202021%2013:19:59%20GMT	https://aryanxxvii.wixsite.com/eb321d93.min.css	C:/My%20Web%20Sites/asasasa/aryanxxvii.wixsite.com/eb321d93.min.css	(from https://aryanxxvii.wixsite.com/my-site-3)
18:49:58	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Dec%202021%2013:20:00%20GMT	https://aryanxxvii.wixsite.com/06cfef68.min.css	C:/My%20Web%20Sites/asasasa/aryanxxvii.wixsite.com/06cfef68.min.css	(from https://aryanxxvii.wixsite.com/my-site-3)
18:49:58	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Dec%202021%2013:20:00%20GMT	https://aryanxxvii.wixsite.com/49a18e23.min.css	C:/My%20Web%20Sites/asasasa/aryanxxvii.wixsite.com/49a18e23.min.css	(from https://aryanxxvii.wixsite.com/my-site-3)
18:49:59	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Dec%202021%2013:20:00%20GMT	https://aryanxxvii.wixsite.com/2467b183.min.css	C:/My%20Web%20Sites/asasasa/aryanxxvii.wixsite.com/2467b183.min.css	(from https://aryanxxvii.wixsite.com/my-site-3)
18:49:59	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Dec%202021%2013:20:00%20GMT	https://aryanxxvii.wixsite.com/f9fd7cbe.min.css	C:/My%20Web%20Sites/asasasa/aryanxxvii.wixsite.com/f9fd7cbe.min.css	(from https://aryanxxvii.wixsite.com/my-site-3)
18:49:59	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Dec%202021%2013:20:01%20GMT	https://aryanxxvii.wixsite.com/e142d0f4.min.css	C:/My%20Web%20Sites/asasasa/aryanxxvii.wixsite.com/e142d0f4.min.css	(from https://aryanxxvii.wixsite.com/my-site-3)
18:49:59	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Dec%202021%2013:20:01%20GMT	https://aryanxxvii.wixsite.com/96a73741.min.css	C:/My%20Web%20Sites/asasasa/aryanxxvii.wixsite.com/96a73741.min.css	(from https://aryanxxvii.wixsite.com/my-site-3)
18:49:59	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Dec%202021%2013:20:01%20GMT	https://aryanxxvii.wixsite.com/4c758e80.min.css	C:/My%20Web%20Sites/asasasa/aryanxxvii.wixsite.com/4c758e80.min.css	(from https://aryanxxvii.wixsite.com/my-site-3)
18:50:00	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Dec%202021%2013:20:01%20GMT	https://aryanxxvii.wixsite.com/44b62fdc.min.css	C:/My%20Web%20Sites/asasasa/aryanxxvii.wixsite.com/44b62fdc.min.css	(from https://aryanxxvii.wixsite.com/my-site-3)
18:50:00	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Dec%202021%2013:20:02%20GMT	https://aryanxxvii.wixsite.com/7f8c7c3e.min.css	C:/My%20Web%20Sites/asasasa/aryanxxvii.wixsite.com/7f8c7c3e.min.css	(from https://aryanxxvii.wixsite.com/my-site-3)
18:50:00	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Dec%202021%2013:20:02%20GMT	https://aryanxxvii.wixsite.com/fbbc0ea4.min.css	C:/My%20Web%20Sites/asasasa/aryanxxvii.wixsite.com/fbbc0ea4.min.css	(from https://aryanxxvii.wixsite.com/my-site-3)
18:50:00	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Dec%202021%2013:20:02%20GMT	https://aryanxxvii.wixsite.com/5d29307d.min.css	C:/My%20Web%20Sites/asasasa/aryanxxvii.wixsite.com/5d29307d.min.css	(from https://aryanxxvii.wixsite.com/my-site-3)
18:50:01	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Dec%202021%2013:20:02%20GMT	https://aryanxxvii.wixsite.com/85af43ab.min.css	C:/My%20Web%20Sites/asasasa/aryanxxvii.wixsite.com/85af43ab.min.css	(from https://aryanxxvii.wixsite.com/my-site-3)
18:50:01	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Dec%202021%2013:20:02%20GMT	https://aryanxxvii.wixsite.com/7010eb60.min.css	C:/My%20Web%20Sites/asasasa/aryanxxvii.wixsite.com/7010eb60.min.css	(from https://aryanxxvii.wixsite.com/my-site-3)
